time,SWD
2025-02-01 00:00:00.000000000,0.0
2025-02-01 00:10:00.000017881,0.0
2025-02-01 00:20:00.000035762,0.0
2025-02-01 00:30:00.000000000,0.0
2025-02-01 00:40:00.000071525,0.0
2025-02-01 00:49:59.999928474,0.0
2025-02-01 01:00:00.000000000,0.0
2025-02-01 01:09:59.999856948,0.0
2025-02-01 01:20:00.000143051,0.0
2025-02-01 01:30:00.000000000,0.0
2025-02-01 01:39:59.999856948,0.0
2025-02-01 01:50:00.000143051,0.0
2025-02-01 02:00:00.000000000,0.0
2025-02-01 02:10:00.000286102,0.0
2025-02-01 02:19:59.999713897,0.0
2025-02-01 02:30:00.000000000,0.0
2025-02-01 02:40:00.000286102,0.0
2025-02-01 02:49:59.999713897,0.0
2025-02-01 03:00:00.000000000,0.0
2025-02-01 03:10:00.000286102,0.0
2025-02-01 03:19:59.999713897,0.0
2025-02-01 03:30:00.000000000,0.0
2025-02-01 03:40:00.000286102,0.0
2025-02-01 03:49:59.999713897,0.0
2025-02-01 04:00:00.000000000,0.0
2025-02-01 04:09:59.999427795,0.0
2025-02-01 04:20:00.000572204,0.0
2025-02-01 04:30:00.000000000,0.0
2025-02-01 04:39:59.999427795,0.0
2025-02-01 04:50:00.000572204,0.0
2025-02-01 05:00:00.000000000,0.0
2025-02-01 05:09:59.999427795,0.0
2025-02-01 05:20:00.000572204,0.0
2025-02-01 05:30:00.000000000,0.0
2025-02-01 05:39:59.999427795,0.0
2025-02-01 05:50:00.000572204,0.0
2025-02-01 06:00:00.000000000,0.0
2025-02-01 06:09:59.999427795,0.0
2025-02-01 06:20:00.000572204,0.0
2025-02-01 06:30:00.000000000,0.0
2025-02-01 06:39:59.999427795,0.0
2025-02-01 06:50:00.000572204,0.0
2025-02-01 07:00:00.000000000,0.0076982616
2025-02-01 07:09:59.999427795,1.894919
2025-02-01 07:20:00.000572204,5.318708
2025-02-01 07:30:00.000000000,11.664167
2025-02-01 07:39:59.999427795,20.411663
2025-02-01 07:50:00.000572204,29.617395
2025-02-01 08:00:00.000000000,46.119133
2025-02-01 08:10:00.001144409,70.53233
2025-02-01 08:19:59.998855590,98.53926
2025-02-01 08:30:00.000000000,121.52734
2025-02-01 08:40:00.001144409,144.6988
2025-02-01 08:49:59.998855590,162.60547
2025-02-01 09:00:00.000000000,174.6661
2025-02-01 09:10:00.001144409,192.3593
2025-02-01 09:19:59.998855590,210.21518
2025-02-01 09:30:00.000000000,226.54639
2025-02-01 09:40:00.001144409,241.38281
2025-02-01 09:49:59.998855590,203.0512
2025-02-01 10:00:00.000000000,272.8932
2025-02-01 10:10:00.001144409,285.46497
2025-02-01 10:19:59.998855590,301.02155
2025-02-01 10:30:00.000000000,311.73676
2025-02-01 10:40:00.001144409,322.38226
2025-02-01 10:49:59.998855590,328.81854
2025-02-01 11:00:00.000000000,336.0658
2025-02-01 11:10:00.001144409,342.63223
2025-02-01 11:19:59.998855590,347.0135
2025-02-01 11:30:00.000000000,347.19647
2025-02-01 11:40:00.001144409,352.66693
2025-02-01 11:49:59.998855590,349.97406
2025-02-01 12:00:00.000000000,352.0285
2025-02-01 12:10:00.001144409,348.378
2025-02-01 12:19:59.998855590,346.7845
2025-02-01 12:30:00.000000000,341.37625
2025-02-01 12:40:00.001144409,336.54565
2025-02-01 12:49:59.998855590,331.26324
