time,SWD,TSLWU
2025-02-01 16:39:59.997711181,0.0,-2.5014343
2025-02-01 16:50:00.002288818,0.0,-2.8407593
2025-02-01 17:00:00.000000000,0.0,-3.016327
2025-02-01 17:09:59.997711181,0.0,-3.2503967
2025-02-01 17:20:00.002288818,0.0,-3.4453125
2025-02-01 17:30:00.000000000,0.0,-3.7129822
2025-02-01 17:39:59.997711181,0.0,-3.994995
2025-02-01 17:50:00.002288818,0.0,-4.1199036
2025-02-01 18:00:00.000000000,0.0,-4.198639
2025-02-01 18:09:59.997711181,0.0,-4.3480225
2025-02-01 18:20:00.002288818,0.0,-4.5230713
2025-02-01 18:30:00.000000000,0.0,-4.5702515
2025-02-01 18:39:59.997711181,0.0,-4.717407
2025-02-01 18:50:00.002288818,0.0,-4.7434387
2025-02-01 19:00:00.000000000,0.0,-4.7467346
2025-02-01 19:09:59.997711181,0.0,-4.4835815
2025-02-01 19:20:00.002288818,0.0,-4.7805176
2025-02-01 19:30:00.000000000,0.0,-4.829712
2025-02-01 19:39:59.997711181,0.0,-5.1833496
2025-02-01 19:50:00.002288818,0.0,-5.5840454
2025-02-01 20:00:00.000000000,0.0,-5.648529
2025-02-01 20:09:59.997711181,0.0,-5.5294495
2025-02-01 20:20:00.002288818,0.0,-5.209717
2025-02-01 20:30:00.000000000,0.0,-4.984375
2025-02-01 20:39:59.997711181,0.0,-5.2070007
2025-02-01 20:50:00.002288818,0.0,-4.9043884
2025-02-01 21:00:00.000000000,0.0,-4.6507874
2025-02-01 21:09:59.997711181,0.0,-4.4773865
2025-02-01 21:20:00.002288818,0.0,-4.437866
2025-02-01 21:30:00.000000000,0.0,-4.414154
2025-02-01 21:39:59.997711181,0.0,-4.6973267
2025-02-01 21:50:00.002288818,0.0,-4.8393555
2025-02-01 22:00:00.000000000,0.0,-5.061676
2025-02-01 22:09:59.997711181,0.0,-5.695404
2025-02-01 22:20:00.002288818,0.0,-5.9922485
2025-02-01 22:30:00.000000000,0.0,-5.7857666
2025-02-01 22:39:59.997711181,0.0,-5.1633606
2025-02-01 22:50:00.002288818,0.0,-5.049652
2025-02-01 23:00:00.000000000,0.0,-5.561371
2025-02-01 23:09:59.997711181,0.0,-5.357025
2025-02-01 23:20:00.002288818,0.0,-5.37442
2025-02-01 23:30:00.000000000,0.0,-5.930481
2025-02-01 23:39:59.997711181,0.0,-5.5402527
2025-02-01 23:50:00.002288818,0.0,-4.930084
2025-02-02 00:00:00.000000000,0.0,-4.5907288
2025-02-02 00:09:59.997711181,0.0,-4.5822144
2025-02-02 00:20:00.002288818,0.0,-4.621155
2025-02-02 00:30:00.000000000,0.0,-4.2756042
2025-02-02 00:39:59.997711181,0.0,-4.664673
2025-02-02 00:50:00.002288818,0.0,-5.4809265
2025-02-02 01:00:00.000000000,0.0,-6.2073975
2025-02-02 01:09:59.997711181,0.0,-6.113312
2025-02-02 01:20:00.002288818,0.0,-5.314636
2025-02-02 01:30:00.000000000,0.0,-4.4496765
2025-02-02 01:39:59.997711181,0.0,-3.6252747
2025-02-02 01:50:00.002288818,0.0,-3.4888306
2025-02-02 02:00:00.000000000,0.0,-3.672638
2025-02-02 02:09:59.997711181,0.0,-4.435608
2025-02-02 02:20:00.002288818,0.0,-5.1459045
2025-02-02 02:30:00.000000000,0.0,-6.022339
2025-02-02 02:39:59.997711181,0.0,-6.4974976
2025-02-02 02:50:00.002288818,0.0,-6.472107
2025-02-02 03:00:00.000000000,0.0,-7.0848083
2025-02-02 03:09:59.997711181,0.0,-7.1463623
2025-02-02 03:20:00.002288818,0.0,-7.263977
2025-02-02 03:30:00.000000000,0.0,-7.1309814
2025-02-02 03:39:59.997711181,0.0,-7.264496
2025-02-02 03:50:00.002288818,0.0,-7.455475
2025-02-02 04:00:00.000000000,0.0,-6.622864
2025-02-02 04:09:59.997711181,0.0,-5.162689
2025-02-02 04:20:00.002288818,0.0,-5.017761
2025-02-02 04:30:00.000000000,0.0,-5.3343506
2025-02-02 04:39:59.997711181,0.0,-5.9064636
2025-02-02 04:50:00.002288818,0.0,-5.5844116
2025-02-02 05:00:00.000000000,0.0,-5.891876
2025-02-02 05:09:59.997711181,0.0,-6.9664
2025-02-02 05:20:00.002288818,0.0,-7.4913635
2025-02-02 05:30:00.000000000,0.0,-7.491394
2025-02-02 05:39:59.997711181,0.0,-7.5237427
2025-02-02 05:50:00.002288818,0.0,-5.1103516
2025-02-02 06:00:00.000000000,0.0,-4.4442444
2025-02-02 06:09:59.997711181,0.0,-4.2615356
2025-02-02 06:20:00.002288818,0.0,-4.262787
2025-02-02 06:30:00.000000000,0.0,-4.737793
2025-02-02 06:39:59.997711181,0.0,-4.7316284
2025-02-02 06:50:00.002288818,0.0,-4.819824
2025-02-02 07:00:00.000000000,0.49364895,-5.2973633
2025-02-02 07:09:59.997711181,3.152809,-5.1557007
2025-02-02 07:20:00.002288818,7.6759048,-5.0238953
2025-02-02 07:30:00.000000000,17.288107,-4.859833
2025-02-02 07:39:59.997711181,30.94226,-4.5428467
2025-02-02 07:50:00.002288818,47.131645,-3.9463196
2025-02-02 08:00:00.000000000,65.48961,-3.4421082
2025-02-02 08:10:00.004577636,84.623375,-3.0205688
2025-02-02 08:19:59.995422363,104.22633,-2.672638
2025-02-02 08:30:00.000000000,124.496925,-2.33313
2025-02-02 08:40:00.004577636,144.69556,-1.9304504
2025-02-02 08:49:59.995422363,165.0181,-1.581604
2025-02-02 09:00:00.000000000,186.85852,-1.2826843
2025-02-02 09:10:00.004577636,206.89377,-0.9890747
2025-02-02 09:19:59.995422363,226.97421,-0.7489624
2025-02-02 09:30:00.000000000,244.65182,-0.5355835
2025-02-02 09:40:00.004577636,263.03986,-0.2987976
2025-02-02 09:49:59.995422363,217.11856,-0.21557617
2025-02-02 10:00:00.000000000,269.55502,0.15731812
2025-02-02 10:10:00.004577636,303.29446,0.6524658
2025-02-02 10:19:59.995422363,317.13934,1.2258606
2025-02-02 10:30:00.000000000,325.27255,1.7388916
2025-02-02 10:40:00.004577636,337.55713,2.0899353
2025-02-02 10:49:59.995422363,346.24924,2.6394958
2025-02-02 11:00:00.000000000,355.28943,3.0588684
2025-02-02 11:10:00.004577636,353.74112,3.4078674
2025-02-02 11:19:59.995422363,365.42154,3.7691345
2025-02-02 11:30:00.000000000,364.5252,4.0618286
2025-02-02 11:40:00.004577636,372.20923,4.2204285
2025-02-02 11:49:59.995422363,368.74692,4.5348816
2025-02-02 12:00:00.000000000,372.81046,4.822418
2025-02-02 12:10:00.004577636,368.74802,4.938751
2025-02-02 12:19:59.995422363,366.48727,5.085968
2025-02-02 12:30:00.000000000,340.87476,5.1025085
2025-02-02 12:40:00.004577636,312.8555,4.731537
2025-02-02 12:49:59.995422363,342.11414,5.002594
2025-02-02 13:00:00.000000000,336.49677,5.2395935
